Username,Password
Ola,1234a
Ola,1742909740,111.6
Ola,1742909741,113.9
Ola,1742909742,118.3
Ola,1742909743,110.3
Ola,1742909744,116.1
Ola,1742909745,117.5
Ola,1742909746,115.3
Ola,1742909747,114.5
Ola,1742909748,116.5
Ola,1742909749,119.8
Ola,1742909750,118.7
Ola,1742909751,119.1
Ola,1742909752,114.9
Ola,1742909753,112.4
Ola,1742909754,118.0
Ola,1742909755,112.6
Ola,1742909756,112.5
Ola,1742909757,110.6
Ola,1742909758,112.2
Ola,1742909759,114.5
Ola,1742909740,102.0
Ola,1742909741,103.5
Ola,1742909742,102.3
Ola,1742909743,108.0
Ola,1742909744,107.4
Ola,1742909745,107.2
Ola,1742909746,99.4
Ola,1742909747,102.2
Ola,1742909748,104.4
Ola,1742909749,98.7
Ola,1742909750,103.0
Ola,1742909751,103.2
Ola,1742909752,99.9
Ola,1742909753,100.3
Ola,1742909754,106.4
Ola,1742909755,103.0
Ola,1742909756,106.0
Ola,1742909757,99.7
Ola,1742909758,106.5
Ola,1742909759,104.4
Test1,1234b
Test1,1742939577,63.0
Test1,1742939578,62.8
Test1,1742939579,66.6
Test1,1742939580,63.7
Test1,1742939581,66.7
Test1,1742939582,62.8
Test1,1742939583,68.6
Test1,1742939584,64.5
Test1,1742939585,63.1
Test1,1742939586,64.3
Test1,1742939587,58.9
Test1,1742939588,61.7
Test1,1742939589,62.7
Test1,1742939590,66.5
Test1,1742939591,59.6
Test1,1742939592,60.3
Test1,1742939593,65.0
Test1,1742939594,62.8
Test1,1742939595,61.5
Test1,1742939596,67.5
Test1,1742939577,64.9
Test1,1742939578,64.3
Test1,1742939579,64.8
Test1,1742939580,60.4
Test1,1742939581,66.5
Test1,1742939582,58.8
Test1,1742939583,63.1
Test1,1742939584,66.9
Test1,1742939585,58.8
Test1,1742939586,64.3
Test1,1742939587,68.0
Test1,1742939588,64.6
Test1,1742939589,66.1
Test1,1742939590,62.2
Test1,1742939591,68.0
Test1,1742939592,63.5
Test1,1742939593,67.5
Test1,1742939594,67.2
Test1,1742939595,64.8
Test1,1742939596,65.9
Test2,1234c
Test2,1742939671,82.9
Test2,1742939672,80.5
Test2,1742939673,84.7
Test2,1742939674,83.8
Test2,1742939675,81.2
Test2,1742939676,76.1
Test2,1742939677,77.9
Test2,1742939678,80.6
Test2,1742939679,79.2
Test2,1742939680,83.7
Test2,1742939681,83.8
Test2,1742939682,78.0
Test2,1742939683,75.2
Test2,1742939684,84.0
Test2,1742939685,81.2
Test2,1742939686,77.9
Test2,1742939687,77.4
Test2,1742939688,76.2
Test2,1742939689,76.5
Test2,1742939690,77.5
Test2,1742939671,91.4
Test2,1742939672,94.5
Test2,1742939673,90.2
Test2,1742939674,94.6
Test2,1742939675,98.8
Test2,1742939676,89.1
Test2,1742939677,93.6
Test2,1742939678,95.7
Test2,1742939679,90.9
Test2,1742939680,90.3
Test2,1742939681,94.5
Test2,1742939682,97.6
Test2,1742939683,93.1
Test2,1742939684,92.4
Test2,1742939685,93.6
Test2,1742939686,97.9
Test2,1742939687,98.7
Test2,1742939688,93.4
Test2,1742939689,89.5
Test2,1742939690,89.7
FinalTest,1234f
FinalTest,1742951147,69.9
FinalTest,1742951148,67.8
FinalTest,1742951149,67.7
FinalTest,1742951150,67.1
FinalTest,1742951151,67.4
FinalTest,1742951152,65.8
FinalTest,1742951153,71.7
FinalTest,1742951154,66.2
FinalTest,1742951155,71.1
FinalTest,1742951156,73.0
FinalTest,1742951157,74.2
FinalTest,1742951158,69.1
FinalTest,1742951159,66.6
FinalTest,1742951160,69.5
FinalTest,1742951161,70.5
FinalTest,1742951162,71.8
FinalTest,1742951163,70.6
FinalTest,1742951164,74.1
FinalTest,1742951165,72.9
FinalTest,1742951166,71.1
FinalTest,1742951147,71.5
FinalTest,1742951148,71.2
FinalTest,1742951149,69.0
FinalTest,1742951150,71.6
FinalTest,1742951151,75.1
FinalTest,1742951152,77.2
FinalTest,1742951153,75.1
FinalTest,1742951154,76.5
FinalTest,1742951155,73.8
FinalTest,1742951156,78.2
FinalTest,1742951157,72.2
FinalTest,1742951158,72.3
FinalTest,1742951159,69.0
FinalTest,1742951160,74.1
FinalTest,1742951161,76.5
FinalTest,1742951162,78.5
FinalTest,1742951163,70.0
